sid,lpg_primary,lpg_nozzle_types
20006,0.0,"[""ACME"",""QUICK_CONNECT""]"
20007,1.0,"[""ACME"",""QUICK_CONNECT""]"
20009,0.0,"[""ACME"",""QUICK_CONNECT""]"
20010,0.0,"[""QUICK_CONNECT"",""ACME""]"
20013,1.0,"[""ACME"",""QUICK_CONNECT""]"
20014,0.0,"[""QUICK_CONNECT"",""ACME""]"
20019,1.0,"[""QUICK_CONNECT"",""ACME""]"
20020,1.0,"[""QUICK_CONNECT"",""ACME""]"
20023,0.0,"[""ACME"",""QUICK_CONNECT""]"
20025,0.0,None
20029,1.0,"[""ACME""]"
20031,1.0,"[""ACME""]"
20032,1.0,"[""ACME""]"
20033,1.0,"[""ACME""]"
20038,1.0,"[""QUICK_CONNECT"",""ACME""]"
20039,0.0,"[""QUICK_CONNECT"",""ACME""]"
20041,0.0,"[""QUICK_CONNECT"",""ACME""]"
20045,1.0,"[""ACME""]"
20047,1.0,"[""ACME""]"
20050,0.0,None
20058,0.0,"[""ACME""]"
20063,0.0,"[""ACME""]"
20070,1.0,"[""ACME""]"
20073,1.0,"[""ACME""]"
20078,1.0,"[""ACME""]"
20082,0.0,"[""QUICK_CONNECT"",""ACME""]"
20088,1.0,"[""ACME""]"
20091,0.0,"[""ACME""]"
20094,0.0,"[""ACME"",""QUICK_CONNECT""]"
20095,1.0,"[""ACME"",""QUICK_CONNECT""]"
20097,0.0,"[""ACME"",""QUICK_CONNECT""]"
20104,0.0,"[""ACME"",""QUICK_CONNECT""]"
20105,1.0,"[""ACME""]"
20107,0.0,"[""ACME""]"
20108,0.0,"[""ACME""]"
20109,0.0,None
20110,1.0,"[""QUICK_CONNECT"",""ACME""]"
