sid,e85_blender_pump,e85_other_ethanol_blends
35536,0.0,
35537,0.0,
35543,0.0,
35545,0.0,
35546,0.0,
35548,0.0,
35550,0.0,
35553,1.0,"[""E15""]"
35554,0.0,
35579,0.0,
35581,0.0,
35599,1.0,"[""E15""]"
35601,1.0,"[""E15"",""E30-E35""]"
35602,0.0,
35603,0.0,
35605,0.0,
35606,0.0,
35607,0.0,
35608,0.0,
35611,0.0,
35614,0.0,
35616,0.0,
35617,0.0,
35618,0.0,
35631,1.0,"[""E15"",""E30-E35""]"
35632,0.0,
35634,0.0,
35635,0.0,
35636,0.0,
35637,0.0,
35638,0.0,
35643,0.0,
35651,0.0,
35653,1.0,"[""E40-Plus""]"
35684,0.0,
35692,0.0,
35700,0.0,
35701,0.0,
35703,1.0,"[""E15""]"
35704,0.0,
35705,0.0,
35706,0.0,
35707,1.0,"[""E15""]"
35708,0.0,
35709,0.0,
35710,0.0,
35711,1.0,"[""E15""]"
35712,0.0,
35715,0.0,
35716,0.0,
35717,0.0,
35721,1.0,"[""E15"",""E30-E35""]"
35722,1.0,"[""E30-E35""]"
35723,1.0,"[""E15""]"
35724,1.0,"[""E15"",""E30-E35""]"
35725,0.0,
35793,1.0,"[""E15"",""E20-E25"",""E30-E35""]"
35795,0.0,
35802,0.0,
35803,0.0,
35804,0.0,
35805,1.0,"[""E20-E25""]"
35808,1.0,"[""E15"",""E30-E35""]"
35809,1.0,"[""E15""]"
35810,0.0,
35811,1.0,"[""E15""]"
35813,0.0,
35816,1.0,"[""E15""]"
35818,0.0,
35822,0.0,
35824,0.0,
35825,0.0,
35828,0.0,
35832,0.0,
35835,0.0,
35836,0.0,
35837,1.0,"[""E20-E25"",""E30-E35"",""E40-Plus""]"
35904,0.0,
35921,0.0,
35931,0.0,
35944,0.0,
35946,0.0,
35947,0.0,
35948,0.0,
35949,0.0,
35950,0.0,
35954,1.0,"[""E15"",""E20-E25"",""E30-E35"",""E40-Plus""]"
35958,0.0,
35963,0.0,
35966,1.0,"[""E15"",""E30-E35""]"
35978,1.0,"[""E15""]"
35983,0.0,
35985,0.0,
35986,0.0,
35990,1.0,"[""E20-E25"",""E30-E35"",""E40-Plus""]"
35993,0.0,
36318,0.0,
36319,0.0,
36320,0.0,
36321,0.0,
36323,1.0,"[""E30-E35"",""E40-Plus""]"
36324,1.0,"[""E15""]"
36325,1.0,"[""E15"",""E30-E35""]"
36326,0.0,
36327,0.0,
36328,0.0,
36330,0.0,
36331,0.0,
36332,0.0,
36333,0.0,
36334,0.0,
36335,0.0,
36336,0.0,
36338,0.0,
36340,0.0,
36530,0.0,
36550,0.0,
36597,0.0,
36599,1.0,"[""E15""]"
36600,0.0,
36602,1.0,"[""E15"",""E30-E35""]"
36604,1.0,"[""E15""]"
36608,0.0,
36658,1.0,"[""E30-E35"",""E40-Plus""]"
36780,0.0,
36782,0.0,
36784,0.0,
36789,0.0,
36793,0.0,
36798,0.0,
36799,0.0,
36802,0.0,
36806,1.0,"[""E15"",""E30-E35""]"
36811,0.0,
36812,1.0,"[""E15""]"
36814,1.0,"[""E15"",""E30-E35""]"
36824,0.0,
36842,1.0,"[""E15""]"
36843,0.0,
36844,0.0,
36848,0.0,
36849,0.0,
36854,0.0,
36862,0.0,
36871,1.0,"[""E30-E35""]"
36879,1.0,"[""E30-E35""]"
36883,0.0,
36891,0.0,
36896,0.0,
36897,0.0,
36898,0.0,
36899,0.0,
36900,0.0,
36901,0.0,
36904,0.0,
36905,0.0,
36911,0.0,
36915,0.0,
36916,0.0,
36975,0.0,
37127,0.0,
37128,0.0,
37131,0.0,
37134,0.0,
37135,1.0,"[""E15""]"
37136,1.0,"[""E15""]"
37138,0.0,
37139,0.0,
37141,0.0,
37143,1.0,"[""E15"",""E30-E35""]"
37144,0.0,
37145,1.0,"[""E30-E35""]"
37353,0.0,
37557,0.0,
