vid,port
10317508-4fed-4aa2-a4da-d95fb20470eb,ccs
4e172d17-11b4-4360-93ee-4e4b6ddb6fb6,ccs
d43501d6-32b3-4601-bd24-605682e873fd,ccs
d302a787-ff60-489a-b69b-2d1713009e88,ccs
8a5ea62e-5c8c-483e-93f3-eebd659c0968,ccs
d03d6e42-d6f8-4e3f-b527-a3c1d1e40f9d,ccs
908e578f-f890-4716-93e8-7c0f75e46bb5,ccs
0aa5220a-6da7-4dc0-a0a1-714bea4fded3,ccs
355eadbb-0c97-4a66-993d-8fdc61a77ef5,ccs
7490520f-fe11-4148-a9b6-3882f06ee082,ccs
eb8d28ec-8df7-40a8-8dd7-badf738f0832,ccs
1b3105fa-527a-491f-ac26-5bfa94bfa45d,ccs
92ffd46c-fe26-4805-81ba-fbadce4d524f,ccs
2768baf4-08a8-4760-a2a6-8e39a11664a8,tesla
3d010bc6-84ad-480c-9dbb-5a8c7c0210b9,tesla
b7c4ddb8-4806-4328-a4e6-4abb4746016d,ccs
6e66aeb0-7680-416c-912d-0cbbf38fc920,tesla
aade3809-159e-415d-a9ce-e5633a173fb8,ccs
48fe5bfc-89c4-4408-b262-52900a562b12,ccs
50baff44-fcbe-48ac-a7ae-7a5181d9bb8c,ccs
cb995cc3-84d9-4c87-89dc-f9dee7a47156,ccs
0a7e79c1-ecd6-4639-bac1-9c9e49fec84c,ccs
d8044adf-2538-4d45-b2d8-2b2fd0951766,ccs
f1b46b0a-b101-4072-a246-0b52f0cc51f5,ccs
f0132135-9415-4403-818b-cee07f81ceb2,ccs
3fc921eb-7a43-4b09-a819-73b9d5a5c14f,ccs
a0347619-a7fe-4dd2-be4e-3ef615783481,ccs
fc5b3c94-c0eb-4515-af3d-4a4106ffe29f,ccs
a746d26e-2a73-4816-a0e4-a40bfb6ba7d7,ccs
