sid,port
47574,type1
47575,type1
47576,type1
47577,chademo
47577,type1
47577,ccs
47578,type1
47579,chademo
47579,type1
47590,type1
47591,type1
47592,type1
47593,type1
47594,type1
47595,type1
47596,type1
47597,type1
47598,type1
47599,type1
47600,type1
47601,type1
47602,type1
47603,type1
47604,type1
47605,type1
47607,type1
47609,type1
47610,type1
47646,type1
47651,type1
47652,type1
47653,type1
47654,type1
47656,type1
47657,type1
47658,type1
47659,type1
47660,type1
47663,type1
47665,type1
47666,type1
47667,type1
47668,type1
47670,type1
47671,type1
47672,type1
47674,type1
47676,type1
47677,type1
47678,type1
47679,type1
47680,type1
47681,type1
47682,type1
47684,type1
47685,type1
47686,type1
47687,type1
47688,chademo
47688,type1
47689,type1
47690,chademo
47690,type1
47691,type1
47692,type1
47693,type1
47694,chademo
47694,type1
47694,ccs
47695,type1
47696,chademo
47696,type1
47697,type1
47698,chademo
47698,type1
47698,ccs
47699,type1
47700,type1
47701,type1
47702,type1
47703,type1
47708,type1
47709,chademo
47709,type1
47709,ccs
47710,type1
47711,chademo
47711,type1
47714,chademo
47714,type1
47714,ccs
47715,type1
47716,chademo
47716,type1
47717,type1
