sid,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network
39806,0.0,0.0,1.0,Non-Networked
39807,0.0,0.0,1.0,Non-Networked
39808,1.0,0.0,1.0,Non-Networked
39809,1.0,0.0,1.0,Non-Networked
39811,0.0,0.0,1.0,Non-Networked
39812,0.0,0.0,3.0,Non-Networked
39813,0.0,0.0,1.0,Non-Networked
39814,0.0,0.0,1.0,Non-Networked
39815,1.0,0.0,1.0,Non-Networked
39816,0.0,0.0,1.0,Non-Networked
39817,0.0,0.0,1.0,Non-Networked
39818,0.0,0.0,1.0,Non-Networked
39819,1.0,0.0,1.0,Non-Networked
39820,0.0,0.0,1.0,Non-Networked
39821,2.0,0.0,1.0,Non-Networked
39822,1.0,0.0,2.0,Non-Networked
39823,1.0,0.0,2.0,Non-Networked
39827,0.0,0.0,1.0,Non-Networked
39828,1.0,0.0,2.0,Non-Networked
39830,0.0,0.0,1.0,Non-Networked
39831,0.0,0.0,1.0,Non-Networked
39832,0.0,0.0,1.0,Non-Networked
39836,0.0,0.0,1.0,Non-Networked
39837,0.0,0.0,1.0,Non-Networked
39838,0.0,0.0,1.0,Non-Networked
39839,1.0,0.0,1.0,Non-Networked
39840,1.0,0.0,2.0,Non-Networked
39841,0.0,0.0,2.0,Non-Networked
39842,1.0,0.0,2.0,Non-Networked
39844,1.0,0.0,1.0,Non-Networked
39845,0.0,0.0,2.0,Non-Networked
39846,1.0,0.0,2.0,Non-Networked
39847,0.0,0.0,1.0,Non-Networked
39848,0.0,0.0,1.0,Non-Networked
39849,1.0,0.0,1.0,Non-Networked
39850,0.0,0.0,1.0,Non-Networked
39851,1.0,0.0,1.0,Non-Networked
39852,1.0,0.0,1.0,Non-Networked
39853,0.0,0.0,1.0,Non-Networked
39854,1.0,0.0,2.0,Non-Networked
39855,0.0,0.0,1.0,Non-Networked
39856,0.0,0.0,1.0,Non-Networked
39857,1.0,0.0,2.0,Non-Networked
39858,0.0,0.0,1.0,Non-Networked
39859,1.0,0.0,1.0,Non-Networked
39860,0.0,0.0,1.0,Non-Networked
39861,2.0,0.0,2.0,Non-Networked
39862,1.0,0.0,3.0,Non-Networked
39863,1.0,0.0,1.0,Non-Networked
39864,1.0,0.0,2.0,Non-Networked
39865,0.0,0.0,1.0,Non-Networked
39870,1.0,0.0,1.0,Non-Networked
39871,1.0,0.0,3.0,Non-Networked
39872,1.0,0.0,3.0,Non-Networked
39873,1.0,0.0,2.0,Non-Networked
39874,1.0,0.0,1.0,Non-Networked
39875,1.0,0.0,1.0,Non-Networked
39876,1.0,0.0,3.0,Non-Networked
39877,1.0,0.0,2.0,Non-Networked
39878,0.0,0.0,1.0,Non-Networked
39879,1.0,0.0,1.0,Non-Networked
39880,0.0,0.0,1.0,Non-Networked
39881,1.0,0.0,2.0,Non-Networked
39882,1.0,0.0,2.0,Non-Networked
39883,1.0,0.0,1.0,Non-Networked
39884,2.0,0.0,4.0,Non-Networked
39885,0.0,0.0,1.0,Non-Networked
39886,0.0,0.0,1.0,Non-Networked
39887,1.0,0.0,2.0,Non-Networked
39888,2.0,0.0,4.0,Non-Networked
39889,0.0,0.0,1.0,Non-Networked
39890,0.0,0.0,1.0,Non-Networked
39891,1.0,0.0,3.0,Non-Networked
39892,1.0,0.0,2.0,Non-Networked
39893,1.0,0.0,2.0,Non-Networked
39894,0.0,0.0,1.0,Non-Networked
39895,1.0,0.0,2.0,Non-Networked
39896,0.0,0.0,1.0,Non-Networked
39897,0.0,0.0,1.0,Non-Networked
39898,1.0,0.0,1.0,Non-Networked
39899,1.0,0.0,3.0,Non-Networked
39901,1.0,0.0,2.0,Non-Networked
39902,0.0,0.0,1.0,Non-Networked
39903,1.0,0.0,2.0,Non-Networked
39904,1.0,0.0,2.0,Non-Networked
39905,1.0,0.0,2.0,Non-Networked
39906,1.0,0.0,1.0,Non-Networked
39907,1.0,0.0,2.0,Non-Networked
39908,0.0,0.0,1.0,Non-Networked
39910,0.0,0.0,1.0,Non-Networked
39911,0.0,0.0,1.0,Non-Networked
39912,1.0,0.0,1.0,Non-Networked
39913,1.0,0.0,3.0,Non-Networked
39914,0.0,0.0,1.0,Non-Networked
39915,0.0,0.0,1.0,Non-Networked
39916,1.0,0.0,2.0,Non-Networked
39917,1.0,0.0,2.0,Non-Networked
39918,1.0,0.0,1.0,Non-Networked
39919,2.0,0.0,2.0,Non-Networked
39920,1.0,0.0,4.0,Non-Networked
39921,1.0,0.0,1.0,Non-Networked
39922,0.0,0.0,1.0,Non-Networked
39923,1.0,0.0,3.0,Non-Networked
39925,1.0,0.0,1.0,Non-Networked
39926,0.0,0.0,1.0,Non-Networked
39927,1.0,0.0,2.0,Non-Networked
39928,1.0,0.0,1.0,Non-Networked
39929,1.0,0.0,1.0,Non-Networked
39930,1.0,0.0,2.0,Non-Networked
39931,1.0,0.0,1.0,Non-Networked
39932,1.0,0.0,1.0,Non-Networked
39933,1.0,0.0,1.0,Non-Networked
39934,0.0,0.0,2.0,Non-Networked
39935,2.0,0.0,1.0,Non-Networked
39936,1.0,0.0,2.0,Non-Networked
39937,1.0,0.0,2.0,Non-Networked
39938,1.0,0.0,4.0,Non-Networked
39939,2.0,0.0,1.0,Non-Networked
39943,1.0,0.0,4.0,Non-Networked
39944,1.0,0.0,2.0,Non-Networked
39945,1.0,0.0,1.0,Non-Networked
39947,1.0,0.0,1.0,Non-Networked
39948,1.0,0.0,2.0,Non-Networked
39949,1.0,0.0,2.0,Non-Networked
39951,0.0,0.0,1.0,Non-Networked
39952,1.0,0.0,1.0,Non-Networked
39953,0.0,0.0,1.0,Non-Networked
39954,0.0,0.0,3.0,Non-Networked
39955,0.0,0.0,1.0,Non-Networked
39956,0.0,0.0,1.0,Non-Networked
39957,1.0,0.0,1.0,Non-Networked
39959,1.0,0.0,1.0,Non-Networked
39962,0.0,0.0,1.0,Non-Networked
39963,0.0,0.0,1.0,Non-Networked
39964,1.0,0.0,1.0,Non-Networked
39965,1.0,0.0,1.0,Non-Networked
39966,1.0,0.0,1.0,Non-Networked
39967,0.0,0.0,1.0,Non-Networked
39968,1.0,0.0,1.0,Non-Networked
39969,0.0,0.0,1.0,Non-Networked
39970,1.0,0.0,1.0,Non-Networked
39971,1.0,0.0,1.0,Non-Networked
39972,1.0,0.0,1.0,Non-Networked
39973,0.0,0.0,1.0,Non-Networked
39974,1.0,0.0,1.0,Non-Networked
39975,1.0,0.0,1.0,Non-Networked
39976,0.0,0.0,1.0,Non-Networked
39978,1.0,0.0,1.0,Non-Networked
39979,0.0,0.0,1.0,Non-Networked
39980,0.0,0.0,1.0,Non-Networked
39981,0.0,0.0,1.0,Non-Networked
39982,1.0,0.0,1.0,Non-Networked
39983,1.0,0.0,2.0,Non-Networked
39985,2.0,0.0,1.0,Non-Networked
39986,1.0,0.0,1.0,Non-Networked
39988,1.0,0.0,1.0,Non-Networked
39989,1.0,0.0,1.0,Non-Networked
39990,1.0,0.0,1.0,Non-Networked
39991,0.0,0.0,1.0,Non-Networked
39992,1.0,0.0,2.0,Non-Networked
39993,1.0,0.0,1.0,Non-Networked
39994,0.0,0.0,1.0,Non-Networked
39995,0.0,0.0,2.0,Non-Networked
39996,0.0,0.0,1.0,Non-Networked
39997,1.0,0.0,1.0,Non-Networked
39998,1.0,0.0,2.0,Non-Networked
40012,0.0,1.0,2.0,Non-Networked
40018,1.0,0.0,2.0,Non-Networked
40020,0.0,0.0,2.0,Non-Networked
40025,1.0,0.0,1.0,Non-Networked
40026,0.0,0.0,1.0,Non-Networked
40029,1.0,0.0,1.0,Non-Networked
40030,1.0,0.0,1.0,Non-Networked
40033,1.0,0.0,1.0,Non-Networked
40046,0.0,0.0,5.0,Non-Networked
40047,0.0,0.0,1.0,Non-Networked
40053,0.0,0.0,1.0,Non-Networked
40056,0.0,1.0,1.0,Non-Networked
40057,0.0,1.0,1.0,Non-Networked
40063,0.0,0.0,2.0,Non-Networked
40066,1.0,0.0,1.0,Non-Networked
40067,1.0,0.0,1.0,Non-Networked
40068,0.0,0.0,1.0,Non-Networked
40069,0.0,0.0,1.0,Non-Networked
40185,0.0,0.0,2.0,Non-Networked
40248,0.0,0.0,2.0,Non-Networked
40255,0.0,0.0,1.0,Non-Networked
40367,0.0,0.0,1.0,ChargePoint Network
40372,0.0,0.0,2.0,ChargePoint Network
40376,0.0,0.0,4.0,Non-Networked
40380,0.0,0.0,1.0,Non-Networked
40382,1.0,0.0,2.0,Non-Networked
40383,0.0,0.0,2.0,ChargePoint Network
40384,0.0,0.0,2.0,ChargePoint Network
40389,0.0,0.0,2.0,ChargePoint Network
40390,0.0,0.0,2.0,ChargePoint Network
40407,0.0,1.0,1.0,Non-Networked
40444,0.0,0.0,2.0,ChargePoint Network
40482,0.0,0.0,1.0,Non-Networked
40522,0.0,0.0,1.0,Non-Networked
40565,0.0,0.0,1.0,Non-Networked
40570,0.0,0.0,2.0,Non-Networked
40571,0.0,0.0,1.0,Non-Networked
40572,0.0,0.0,1.0,Non-Networked
40593,0.0,1.0,1.0,Non-Networked
40594,0.0,0.0,2.0,Non-Networked
40596,0.0,0.0,2.0,Non-Networked
40603,0.0,0.0,24.0,Non-Networked
40607,0.0,0.0,2.0,Non-Networked
40608,0.0,0.0,1.0,Non-Networked
40609,0.0,0.0,1.0,Non-Networked
40610,0.0,0.0,1.0,Non-Networked
40613,0.0,0.0,2.0,Non-Networked
40653,0.0,0.0,2.0,Non-Networked
40689,0.0,4.0,2.0,Non-Networked
40697,0.0,0.0,2.0,Non-Networked
40701,0.0,0.0,3.0,Non-Networked
40704,0.0,0.0,2.0,Non-Networked
40745,0.0,0.0,2.0,Non-Networked
40747,0.0,0.0,1.0,Non-Networked
40751,0.0,1.0,1.0,Non-Networked
40752,0.0,2.0,3.0,Non-Networked
40765,0.0,1.0,1.0,Non-Networked
40775,0.0,1.0,2.0,Non-Networked
40777,0.0,1.0,1.0,Non-Networked
40790,1.0,0.0,6.0,Non-Networked
40794,0.0,0.0,6.0,Non-Networked
40806,0.0,0.0,2.0,Non-Networked
40854,0.0,0.0,2.0,Non-Networked
40940,0.0,0.0,1.0,ChargePoint Network
40965,0.0,0.0,1.0,Non-Networked
40978,0.0,0.0,2.0,ChargePoint Network
40979,0.0,0.0,2.0,ChargePoint Network
40983,0.0,0.0,2.0,ChargePoint Network
40984,0.0,0.0,2.0,ChargePoint Network
40996,0.0,0.0,1.0,Non-Networked
40997,0.0,0.0,1.0,Non-Networked
40998,0.0,0.0,1.0,Non-Networked
41006,0.0,0.0,2.0,ChargePoint Network
41007,0.0,0.0,2.0,ChargePoint Network
41025,0.0,1.0,1.0,Non-Networked
41047,0.0,1.0,2.0,Non-Networked
41049,0.0,0.0,1.0,Non-Networked
41085,0.0,0.0,1.0,Non-Networked
41093,0.0,0.0,3.0,Non-Networked
41096,0.0,0.0,3.0,Non-Networked
41099,0.0,0.0,4.0,Non-Networked
41100,0.0,0.0,4.0,Non-Networked
41101,0.0,0.0,6.0,Non-Networked
41102,0.0,0.0,3.0,Non-Networked
41108,0.0,0.0,1.0,Non-Networked
41121,0.0,0.0,1.0,Non-Networked
41122,0.0,0.0,1.0,Non-Networked
41230,0.0,0.0,2.0,Non-Networked
41237,0.0,0.0,2.0,ChargePoint Network
41240,0.0,0.0,2.0,Non-Networked
41263,0.0,0.0,2.0,Non-Networked
41264,0.0,0.0,2.0,Non-Networked
41265,0.0,0.0,2.0,ChargePoint Network
41266,0.0,0.0,2.0,ChargePoint Network
41269,0.0,0.0,2.0,ChargePoint Network
41272,0.0,0.0,2.0,ChargePoint Network
41347,0.0,0.0,2.0,Non-Networked
41352,0.0,0.0,14.0,Non-Networked
41395,0.0,0.0,3.0,Non-Networked
41446,0.0,0.0,2.0,Non-Networked
41483,0.0,0.0,8.0,Non-Networked
41520,0.0,0.0,2.0,ChargePoint Network
41524,0.0,0.0,1.0,ChargePoint Network
41525,0.0,0.0,1.0,ChargePoint Network
41526,0.0,0.0,2.0,Non-Networked
41553,0.0,0.0,2.0,Non-Networked
41579,0.0,0.0,2.0,Non-Networked
41581,0.0,0.0,2.0,Non-Networked
41758,0.0,0.0,2.0,ChargePoint Network
41772,0.0,0.0,1.0,Non-Networked
41773,0.0,0.0,2.0,ChargePoint Network
41776,0.0,0.0,2.0,ChargePoint Network
41779,0.0,0.0,1.0,Non-Networked
41800,0.0,0.0,1.0,ChargePoint Network
41809,0.0,0.0,2.0,ChargePoint Network
41810,0.0,0.0,2.0,ChargePoint Network
41814,0.0,0.0,2.0,ChargePoint Network
41849,0.0,0.0,2.0,ChargePoint Network
41941,0.0,0.0,3.0,Non-Networked
41985,0.0,0.0,1.0,Non-Networked
41987,0.0,0.0,12.0,OpConnect
41988,0.0,0.0,1.0,Non-Networked
42013,0.0,0.0,4.0,Non-Networked
42016,1.0,0.0,1.0,Non-Networked
42032,0.0,0.0,1.0,Non-Networked
42043,0.0,0.0,1.0,Non-Networked
42044,0.0,0.0,2.0,Non-Networked
42110,0.0,0.0,2.0,ChargePoint Network
42124,0.0,0.0,3.0,Non-Networked
42125,0.0,0.0,2.0,ChargePoint Network
42131,0.0,0.0,2.0,ChargePoint Network
42136,0.0,0.0,2.0,ChargePoint Network
42169,0.0,0.0,2.0,ChargePoint Network
42178,0.0,0.0,1.0,ChargePoint Network
42186,0.0,1.0,1.0,ChargePoint Network
42196,0.0,2.0,2.0,Non-Networked
42209,0.0,0.0,1.0,Non-Networked
42228,0.0,0.0,2.0,ChargePoint Network
42240,0.0,0.0,2.0,ChargePoint Network
42285,0.0,0.0,2.0,ChargePoint Network
42382,0.0,0.0,1.0,Non-Networked
42384,0.0,0.0,2.0,Non-Networked
