id,brand,vehicle_type,model,release_year,variant,type,ac_port,dc_port,usable_battery_size,energy_consumption
179,Renault,car,Zoe,2019.0,R110 ZE50,bev,type2,ccs,52.0,16.5
180,Renault,car,Kangoo ZE,,,bev,type2,,33.0,19.4
181,Renault,car,Twizy,,,bev,type2,,6.1,8.4
182,Renault,car,Captur E-Tech,2020.0,PHEV,phev,type2,,9.8,17.4
183,Renault,car,Twingo Z.E.,2020.0,22 kWh,bev,type2,,21.3,16.3
184,Seat,car,Leon eHybrid,2020.0,13 kWh - 204 ch,phev,type2,,13.0,14.0
185,Seat,car,Mii Electric,2020.0,CCS,bev,type2,ccs,32.3,16.6
186,Skoda,car,Enyaq iV,2020.0,82 kWh 125 kW-DC,bev,type2,ccs,77.0,19.0
187,Skoda,car,Enyaq iV,2020.0,82 kWh 50 kW-DC,bev,type2,ccs,77.0,19.0
188,Skoda,car,Enyaq iV,2020.0,62 kWh 50 kW-DC,bev,type2,ccs,58.0,18.7
189,Skoda,car,Enyaq iV,2020.0,62 kWh 100 kW-DC,bev,type2,ccs,58.0,18.7
190,Skoda,car,Octavia,2020.0,iV PHEV,phev,type2,,13.0,148.0
191,Skoda,car,CITIGOe iV,2020.0,CCS,bev,type2,ccs,32.3,16.6
192,Skoda,car,Superb iV,2020.0,PHEV,phev,type2,,13.0,14.0
193,Skoda,car,Enyaq iV,2020.0,55 kWh,bev,type2,ccs,52.0,18.7
194,Tesla,car,Roadster,2022.0,,bev,type2,tesla,200.0,20.6
195,Tesla,car,Model S,,70,bev,type2,ccs,67.0,18.5
196,Tesla,car,Model S,,"70, 22 kW-AC",bev,type2,ccs,67.0,18.5
197,Tesla,car,Model 3,,LR,bev,type2,ccs,74.0,16.1
198,Tesla,car,Model 3,,SR+,bev,type2,ccs,50.0,15.3
199,Tesla,car,Model 3,,Performance,bev,type2,ccs,72.5,16.7
200,Tesla,car,Model S,,85,bev,type2,ccs,76.0,19.1
201,Tesla,car,Model S,,100,bev,type2,ccs,95.0,18.4
202,Tesla,car,Model S,,90,bev,type2,ccs,81.0,18.2
203,Tesla,car,Model S,,75,bev,type2,ccs,72.5,18.5
204,Tesla,car,Model S,2012.0,85D,bev,type2,ccs,77.5,19.1
205,Tesla,car,Model S,2015.0,P90D,bev,type2,ccs,82.0,18.2
206,Tesla,car,Model S,2016.0,BEV,bev,type2,ccs,72.5,20.8
207,Tesla,car,Model S,2016.0,P100D,bev,type2,ccs,98.0,20.0
208,Tesla,car,Model S,,90D,bev,type2,ccs,83.5,18.2
209,Tesla,car,Model S,,"P85D, 22 kW-AC",bev,type2,ccs,80.8,19.1
210,Tesla,car,Model S,2017.0,100D,bev,type2,ccs,98.0,18.9
211,Tesla,car,Model S,,75D,bev,type2,ccs,72.5,19.1
212,Tesla,car,Model S,2019.0,Long Range (Raven),bev,type2,ccs,95.0,19.0
213,Tesla,car,Model S,,60,bev,type2,ccs,62.0,18.0
214,Tesla,car,Model S,,P85D,bev,type2,ccs,80.8,19.1
215,Tesla,car,Model S,2019.0,Standard Range,bev,type2,ccs,72.5,18.4
216,Tesla,car,Model S,2019.0,Performance,bev,type2,ccs,95.0,19.3
217,Tesla,car,Model S,,60D,bev,type2,ccs,62.0,17.7
218,Tesla,car,Model S,,70D,bev,type2,ccs,66.5,18.8
219,Tesla,car,Model S,,"70D, 22 kW-AC",bev,type2,ccs,66.5,18.8
220,Tesla,car,Model X,2016.0,90D,bev,type2,ccs,90.0,20.0
221,Tesla,car,Model X,2016.0,P90D,bev,type2,ccs,90.0,21.0
222,Tesla,car,Model X,2017.0,P100D,bev,type2,ccs,100.0,22.0
223,Tesla,car,Model X,2019.0,Performance,bev,type2,ccs,100.0,22.0
224,Tesla,car,Model X,2017.0,100D,bev,type2,ccs,100.0,20.0
225,Tesla,car,Model X,2019.0,Maximum Range,bev,type2,ccs,100.0,20.0
226,Tesla,car,Model X,2019.0,75D,bev,type2,ccs,75.0,20.0
227,Tesla,car,Model X,2016.0,60D,bev,type2,ccs,60.0,16.0
228,Tesla,car,Model X,2020.0,long range,bev,,tesla,95.0,22.6
229,Tesla,car,Model X,2020.0,Performance,bev,,tesla,95.0,23.6
230,Tesla,car,Model X,2019.0,Standard Range,bev,type2,ccs,75.0,20.0
231,Tesla,car,Model X,2020.0,Standard Range,bev,,tesla,72.5,21.6
232,Tesla,car,Model Y,2020.0,Long Range,bev,type2,ccs,72.5,14.4
233,Tesla,car,Model Y,2020.0,Performance,bev,type2,ccs,72.5,14.4
234,Volkswagen,car,Golf GTE,2020.0,8,phev,type2,,13.0,11.4
235,Volkswagen,car,ID.4,2020.0,77 kWh,bev,type2,ccs,77.0,19.3
236,Volkswagen,car,ID.3,2020.0,77 kWh,bev,type2,ccs,77.0,17.1
237,Volkswagen,car,ID.3,2020.0,45 kWh,bev,type2,ccs,45.0,16.4
238,Volkswagen,car,ID.3,2020.0,58 kWh,bev,type2,ccs,58.0,16.6
239,Volkswagen,car,e-Golf,2014.0,CCS,bev,type2,ccs,21.2,15.8
240,Volkswagen,car,e-Golf,2017.0,CCS,bev,type2,ccs,31.5,16.4
241,Volkswagen,car,e-Golf,2017.0,,bev,type2,,31.5,16.4
242,Volkswagen,car,e-Golf,2014.0,,bev,type2,,21.2,15.8
243,Volkswagen,car,e-Golf,2020.0,,bev,type2,ccs,31.5,15.3
244,Volkswagen,car,e-up,2013.0,CCS,bev,type2,ccs,16.5,16.8
245,Volkswagen,car,e-up,2013.0,,bev,type2,,16.5,16.8
246,Volkswagen,car,e-up,2020.0,,bev,type2,,32.3,16.6
247,Volkswagen,car,Golf GTE,2017.0,,phev,type2,,8.7,11.4
248,Volkswagen,car,Passat GTE,2019.0,,phev,type2,,13.1,16.2
249,Volkswagen,car,e-up,2020.0,CCS,bev,type2,ccs,32.3,16.6
