sid,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network
173934,type1,None,None,1.0,ChargePoint Network
173935,type1,None,None,1.0,ChargePoint Network
173936,type1,None,None,2.0,ChargePoint Network
173937,type1,None,None,1.0,ChargePoint Network
173938,type1,None,None,2.0,ChargePoint Network
173939,type1,None,None,2.0,ChargePoint Network
173940,type1,None,None,2.0,ChargePoint Network
173941,type1,None,None,1.0,ChargePoint Network
173942,type1,None,None,1.0,ChargePoint Network
173943,type1,None,None,1.0,ChargePoint Network
173944,type1,None,None,1.0,ChargePoint Network
173945,type1,None,None,1.0,ChargePoint Network
173947,type1,None,None,2.0,ChargePoint Network
173948,type1,None,None,2.0,ChargePoint Network
173949,type1,None,None,2.0,ChargePoint Network
173950,chademo,1.0,None,None,ChargePoint Network
173950,ccs,1.0,None,None,ChargePoint Network
173951,type1,None,None,2.0,ChargePoint Network
173952,type1,None,None,2.0,ChargePoint Network
173953,type1,None,None,2.0,ChargePoint Network
173954,type1,None,None,2.0,ChargePoint Network
173955,type1,None,None,2.0,ChargePoint Network
173956,ccs,1.0,None,None,ChargePoint Network
173958,type1,None,None,2.0,ChargePoint Network
173959,type1,None,None,1.0,ChargePoint Network
173960,type1,None,None,2.0,ChargePoint Network
173961,type1,None,None,1.0,ChargePoint Network
173962,type1,None,None,2.0,ChargePoint Network
173963,type1,None,None,2.0,ChargePoint Network
173964,type1,None,None,2.0,ChargePoint Network
173965,type1,None,None,1.0,ChargePoint Network
173966,type1,None,None,2.0,ChargePoint Network
173967,type1,None,None,2.0,ChargePoint Network
173969,type1,None,None,2.0,ChargePoint Network
173970,type1,None,None,2.0,ChargePoint Network
173971,type1,None,None,2.0,ChargePoint Network
173973,type1,None,None,2.0,ChargePoint Network
173974,type1,None,None,1.0,ChargePoint Network
173975,type1,None,None,1.0,ChargePoint Network
173976,type1,None,None,1.0,ChargePoint Network
173977,type1,None,None,1.0,ChargePoint Network
173978,type1,None,None,2.0,ChargePoint Network
173979,type1,None,None,2.0,ChargePoint Network
173980,type1,None,None,2.0,ChargePoint Network
173981,type1,None,None,2.0,ChargePoint Network
173983,type1,None,None,2.0,ChargePoint Network
